Study,SOP,Country,Region
Stoeber,4.77,UK,UK
Flett,4.734831683,CAN,NORTH_AMERICA
Flett,4.182666667,CAN,NORTH_AMERICA
Conroy et al,4.51,USA,NORTH_AMERICA
Kaye et al,4.51,USA,NORTH_AMERICA
Pulford et al,3.931333333,UK,UK
Dunkley & Blankstein,4.446,CAN,NORTH_AMERICA
Hewitt & Flett,4.351333333,CAN,NORTH_AMERICA
Hewitt,4.501333333,CAN,NORTH_AMERICA
Nepon,4.595333333,CAN,NORTH_AMERICA
Nepon,4.445333333,CAN,NORTH_AMERICA
Martin et al,4.702666667,CAN,NORTH_AMERICA
Stoeber ,4.56,UK,UK
Flett,4.314,CAN,NORTH_AMERICA
Nepon,4.416666667,CAN,NORTH_AMERICA
Flett,4.346,CAN,NORTH_AMERICA
Dunkley,4.455333333,CAN,NORTH_AMERICA
Nepon,4.481333333,CAN,NORTH_AMERICA
Chang & Rand,4.712666667,USA,NORTH_AMERICA
Suddarth & Slaney,4.58,USA,NORTH_AMERICA
Enns,4.386666667,USA,NORTH_AMERICA
Dunkley,4.498666667,CAN,NORTH_AMERICA
Flett,4.658666667,CAN,NORTH_AMERICA
Klibert et al,4.714,USA,NORTH_AMERICA
Klibert et al,4.880666667,USA,NORTH_AMERICA
Miller & Vaillancour,4.666,CAN,NORTH_AMERICA
Blasberg TH,4.533333333,CAN,NORTH_AMERICA
Dunkley,4.694,CAN,NORTH_AMERICA
Dunkley,4.694,CAN,NORTH_AMERICA
Chang,4.942,USA,NORTH_AMERICA
Stoeber,4.84,UK,UK
Dunkley,4.475333333,CAN,NORTH_AMERICA
McGrath et al,4.48,CAN,NORTH_AMERICA
Clark et al,4.140666667,CAN,NORTH_AMERICA
Flett,4.497333333,CAN,NORTH_AMERICA
Lutwak & Ferrari,4.826666667,USA,NORTH_AMERICA
Sturman et al,4.465333333,CAN,NORTH_AMERICA
Stoeber,4.82,UK,UK
Nepon,4.494666667,CAN,NORTH_AMERICA
Flett,4.688,CAN,NORTH_AMERICA
O'Connor et al,4.166,UK,UK
Stoeber & Corr,4.628,UK,UK
Chang,4.697333333,USA,NORTH_AMERICA
Aldea & Rice,4.594666667,USA,NORTH_AMERICA
Sherry,4.593333333,CAN,NORTH_AMERICA
Stoeber,5.21,UK,UK
Neumeister et al,4.886666667,USA,NORTH_AMERICA
Chang,4.997333333,USA,NORTH_AMERICA
Stoeber,4.66,UK,UK
Stoeber,4.736,UK,UK
Sherry,4.526334239,CAN,NORTH_AMERICA
Sherry & Hall,4.844,CAN,NORTH_AMERICA
Gaudreau,4.14,CAN,NORTH_AMERICA
Flett,4.496,CAN,NORTH_AMERICA
Rice,4.688,USA,NORTH_AMERICA
Downey & Chang,4.798,USA,NORTH_AMERICA
Hope et al,4.75,CAN,NORTH_AMERICA
Rice,4.584,USA,NORTH_AMERICA
Franche & Gaudreau,4.44,CAN,NORTH_AMERICA
Sherry,4.327333333,CAN,NORTH_AMERICA
Brown,4.793333333,USA,NORTH_AMERICA
Stoeber & Corr,4.695333333,UK,UK
Verner-Filion & Gaud,4.54,CAN,NORTH_AMERICA
Sherry,4.588,CAN,NORTH_AMERICA
Gaudreau,4.37,CAN,NORTH_AMERICA
Hill et al,4.67,UK,UK
Bardone-Cone,4.752666667,USA,NORTH_AMERICA
Hill,4.528,USA,NORTH_AMERICA
Hill,4.616,USA,NORTH_AMERICA
Oliver et al,4.953333333,USA,NORTH_AMERICA
Sherry,4.590666667,CAN,NORTH_AMERICA
Bardone-Cone,4.699333333,USA,NORTH_AMERICA
Vieth & trull,4.746666667,USA,NORTH_AMERICA
Smith,4.4,CAN,NORTH_AMERICA
Smith,4.4,CAN,NORTH_AMERICA
Enns et al,4.661333333,CAN,NORTH_AMERICA
Xie et al,4.73,USA,NORTH_AMERICA
Tissot & Crowther,4.368,USA,NORTH_AMERICA
Olson & Kwon,4.578666667,USA,NORTH_AMERICA
Mackinnon et al,4.74,CAN,NORTH_AMERICA
Mackinnon et al,4.752,CAN,NORTH_AMERICA
La Rocque et al,4.910666667,CAN,NORTH_AMERICA
