pupil,school,extrav,gender,ses,popular,extrav_c,ses_c,gender_c
10,3,7,1,13,6.3,1.785,-1.263,0.5
11,3,6,1,13,5.6,0.785,-1.263,0.5
12,3,4,1,13,3.1,-1.215,-1.263,0.5
13,3,5,1,13,3.5,-0.215,-1.263,0.5
14,3,4,1,13,4.7,-1.215,-1.263,0.5
15,3,6,0,13,4.3,0.785,-1.263,-0.5
16,3,7,0,13,4.9,1.785,-1.263,-0.5
17,3,6,1,13,5.9,0.785,-1.263,0.5
18,3,4,0,13,2.6,-1.215,-1.263,-0.5
1,4,3,1,20,4.1,-2.215,5.737,0.5
2,4,2,1,20,5.3,-3.215,5.737,0.5
3,4,5,1,20,6.1,-0.215,5.737,0.5
4,4,6,1,20,6,0.785,5.737,0.5
5,4,6,1,20,6.3,0.785,5.737,0.5
6,4,3,0,20,4,-2.215,5.737,-0.5
7,4,6,0,20,5.3,0.785,5.737,-0.5
8,4,4,0,20,5.6,-1.215,5.737,-0.5
9,4,5,0,20,5.2,-0.215,5.737,-0.5
10,4,6,1,20,6.2,0.785,5.737,0.5
11,4,6,0,20,6.1,0.785,5.737,-0.5
12,4,4,0,20,3.9,-1.215,5.737,-0.5
13,4,3,0,20,4.8,-2.215,5.737,-0.5
14,4,5,0,20,5.8,-0.215,5.737,-0.5
15,4,6,0,20,4.9,0.785,5.737,-0.5
16,4,5,1,20,6.6,-0.215,5.737,0.5
17,4,4,1,20,5.6,-1.215,5.737,0.5
18,4,5,0,20,4.5,-0.215,5.737,-0.5
19,4,4,0,20,5.4,-1.215,5.737,-0.5
20,4,6,0,20,4.9,0.785,5.737,-0.5
21,4,4,0,20,5.4,-1.215,5.737,-0.5
22,4,5,1,20,6.7,-0.215,5.737,0.5
23,4,7,0,20,6.3,1.785,5.737,-0.5
1,5,7,0,5,4.2,1.785,-9.263,-0.5
2,5,4,1,5,4,-1.215,-9.263,0.5
3,5,5,0,5,4.7,-0.215,-9.263,-0.5
4,5,4,1,5,4.7,-1.215,-9.263,0.5
5,5,6,0,5,5.2,0.785,-9.263,-0.5
6,5,7,0,5,5.8,1.785,-9.263,-0.5
7,5,6,0,5,4.4,0.785,-9.263,-0.5
8,5,4,1,5,3.8,-1.215,-9.263,0.5
9,5,6,1,5,5.9,0.785,-9.263,0.5
10,5,8,0,5,7,2.785,-9.263,-0.5
11,5,7,1,5,7.3,1.785,-9.263,0.5
12,5,6,1,5,5.6,0.785,-9.263,0.5
13,5,7,0,5,5.6,1.785,-9.263,-0.5
14,5,6,1,5,6.3,0.785,-9.263,0.5
15,5,6,0,5,4.2,0.785,-9.263,-0.5
16,5,5,1,5,4.6,-0.215,-9.263,0.5
17,5,6,1,5,6.1,0.785,-9.263,0.5
18,5,6,0,5,5,0.785,-9.263,-0.5
19,5,6,1,5,5.8,0.785,-9.263,0.5
20,5,5,0,5,5.5,-0.215,-9.263,-0.5
21,5,6,0,5,5.3,0.785,-9.263,-0.5
1,6,4,0,8,4.1,-1.215,-6.263,-0.5
2,6,6,1,8,5.8,0.785,-6.263,0.5
3,6,5,1,8,4.2,-0.215,-6.263,0.5
4,6,5,1,8,3.9,-0.215,-6.263,0.5
5,6,4,1,8,5,-1.215,-6.263,0.5
6,6,4,1,8,4.4,-1.215,-6.263,0.5
7,6,6,0,8,4.3,0.785,-6.263,-0.5
8,6,5,0,8,3.3,-0.215,-6.263,-0.5
9,6,4,1,8,3.1,-1.215,-6.263,0.5
10,6,7,1,8,6.4,1.785,-6.263,0.5
11,6,5,0,8,3.5,-0.215,-6.263,-0.5
12,6,6,1,8,5.9,0.785,-6.263,0.5
13,6,5,1,8,4.2,-0.215,-6.263,0.5
14,6,3,0,8,3.5,-2.215,-6.263,-0.5
15,6,4,1,8,4.6,-1.215,-6.263,0.5
16,6,6,0,8,5.1,0.785,-6.263,-0.5
17,6,5,0,8,4.2,-0.215,-6.263,-0.5
18,6,7,0,8,4.9,1.785,-6.263,-0.5
19,6,5,0,8,3.6,-0.215,-6.263,-0.5
20,6,4,0,8,2.7,-1.215,-6.263,-0.5
1,7,6,1,17,5.8,0.785,2.737,0.5
2,7,4,1,17,4.8,-1.215,2.737,0.5
3,7,4,0,17,4.4,-1.215,2.737,-0.5
4,7,4,0,17,1.7,-1.215,2.737,-0.5
5,7,4,0,17,3.6,-1.215,2.737,-0.5
6,7,5,1,17,3.8,-0.215,2.737,0.5
7,7,4,0,17,4.1,-1.215,2.737,-0.5
8,7,5,1,17,5.7,-0.215,2.737,0.5
9,7,6,0,17,2.9,0.785,2.737,-0.5
10,7,5,1,17,4.9,-0.215,2.737,0.5
11,7,5,0,17,5.1,-0.215,2.737,-0.5
12,7,6,0,17,4,0.785,2.737,-0.5
13,7,4,0,17,3,-1.215,2.737,-0.5
14,7,4,1,17,4.7,-1.215,2.737,0.5
15,7,7,0,17,2.8,1.785,2.737,-0.5
16,7,5,0,17,3.7,-0.215,2.737,-0.5
17,7,6,1,17,5.1,0.785,2.737,0.5
18,7,5,0,17,3.5,-0.215,2.737,-0.5
19,7,5,1,17,4.7,-0.215,2.737,0.5
20,7,7,1,17,6,1.785,2.737,0.5
21,7,5,0,17,4,-0.215,2.737,-0.5
1,8,6,1,12,6.1,0.785,-2.263,0.5
2,8,5,0,12,3.2,-0.215,-2.263,-0.5
3,8,4,1,12,3.3,-1.215,-2.263,0.5
4,8,7,1,12,5,1.785,-2.263,0.5
5,8,6,0,12,4.2,0.785,-2.263,-0.5
6,8,7,1,12,5.6,1.785,-2.263,0.5
7,8,6,0,12,3.9,0.785,-2.263,-0.5
8,8,5,1,12,4.5,-0.215,-2.263,0.5
9,8,6,0,12,2.2,0.785,-2.263,-0.5
10,8,5,1,12,4.2,-0.215,-2.263,0.5
11,8,4,0,12,1.5,-1.215,-2.263,-0.5
12,8,5,0,12,3.2,-0.215,-2.263,-0.5
13,8,5,0,12,2.7,-0.215,-2.263,-0.5
14,8,5,1,12,4.1,-0.215,-2.263,0.5
15,8,7,0,12,4.8,1.785,-2.263,-0.5
16,8,5,0,12,3.5,-0.215,-2.263,-0.5
17,8,5,1,12,3.6,-0.215,-2.263,0.5
18,8,7,1,12,5.5,1.785,-2.263,0.5
19,8,6,1,12,4.8,0.785,-2.263,0.5
20,8,5,1,12,3.5,-0.215,-2.263,0.5
1,9,6,0,9,5.2,0.785,-5.263,-0.5
2,9,5,1,9,6,-0.215,-5.263,0.5
3,9,5,1,9,5.1,-0.215,-5.263,0.5
4,9,6,1,9,5.3,0.785,-5.263,0.5
5,9,6,1,9,6.7,0.785,-5.263,0.5
6,9,5,0,9,3.6,-0.215,-5.263,-0.5
7,9,5,0,9,3.5,-0.215,-5.263,-0.5
8,9,5,0,9,3.9,-0.215,-5.263,-0.5
9,9,5,0,9,4.3,-0.215,-5.263,-0.5
10,9,5,0,9,4,-0.215,-5.263,-0.5
11,9,3,0,9,4.6,-2.215,-5.263,-0.5
12,9,4,1,9,4.5,-1.215,-5.263,0.5
13,9,4,0,9,3.6,-1.215,-5.263,-0.5
14,9,5,0,9,2.6,-0.215,-5.263,-0.5
15,9,4,0,9,3.9,-1.215,-5.263,-0.5
16,9,6,0,9,5,0.785,-5.263,-0.5
17,9,6,1,9,4.5,0.785,-5.263,0.5
18,9,7,1,9,7.3,1.785,-5.263,0.5
19,9,6,1,9,6.7,0.785,-5.263,0.5
20,9,4,0,9,2.9,-1.215,-5.263,-0.5
1,10,5,0,21,5.4,-0.215,6.737,-0.5
2,10,6,1,21,6.3,0.785,6.737,0.5
3,10,5,0,21,3.4,-0.215,6.737,-0.5
4,10,4,1,21,4.9,-1.215,6.737,0.5
5,10,5,0,21,5.1,-0.215,6.737,-0.5
6,10,6,1,21,7,0.785,6.737,0.5
7,10,5,0,21,5.4,-0.215,6.737,-0.5
8,10,5,0,21,4.9,-0.215,6.737,-0.5
9,10,6,1,21,6.6,0.785,6.737,0.5
10,10,5,1,21,5.8,-0.215,6.737,0.5
11,10,6,0,21,4.4,0.785,6.737,-0.5
12,10,6,0,21,4.9,0.785,6.737,-0.5
13,10,7,1,21,6,1.785,6.737,0.5
14,10,6,0,21,4.8,0.785,6.737,-0.5
15,10,3,0,21,3.6,-2.215,6.737,-0.5
16,10,5,0,21,5,-0.215,6.737,-0.5
17,10,3,0,21,5.5,-2.215,6.737,-0.5
18,10,6,0,21,5,0.785,6.737,-0.5
19,10,3,1,21,5.2,-2.215,6.737,0.5
20,10,6,1,21,5.4,0.785,6.737,0.5
21,10,4,1,21,6,-1.215,6.737,0.5
22,10,6,1,21,5.7,0.785,6.737,0.5
23,10,4,1,21,6.1,-1.215,6.737,0.5
24,10,5,1,21,5.2,-0.215,6.737,0.5
1,11,4,0,11,4.7,-1.215,-3.263,-0.5
2,11,5,1,11,5.5,-0.215,-3.263,0.5
3,11,5,1,11,4.8,-0.215,-3.263,0.5
4,11,6,0,11,4.9,0.785,-3.263,-0.5
5,11,5,0,11,4.6,-0.215,-3.263,-0.5
6,11,6,1,11,4.6,0.785,-3.263,0.5
7,11,5,0,11,3.4,-0.215,-3.263,-0.5
8,11,7,1,11,5.6,1.785,-3.263,0.5
9,11,4,1,11,5.4,-1.215,-3.263,0.5
10,11,5,1,11,5.6,-0.215,-3.263,0.5
11,11,6,0,11,3.2,0.785,-3.263,-0.5
12,11,6,0,11,5.1,0.785,-3.263,-0.5
13,11,6,0,11,4.4,0.785,-3.263,-0.5
14,11,6,1,11,4.8,0.785,-3.263,0.5
15,11,4,1,11,4.2,-1.215,-3.263,0.5
16,11,5,0,11,4.3,-0.215,-3.263,-0.5
17,11,5,0,11,4.2,-0.215,-3.263,-0.5
18,11,6,0,11,4,0.785,-3.263,-0.5
19,11,4,0,11,1.6,-1.215,-3.263,-0.5
20,11,5,1,11,4.9,-0.215,-3.263,0.5
21,11,5,1,11,3.8,-0.215,-3.263,0.5
22,11,4,0,11,4.1,-1.215,-3.263,-0.5
1,12,5,0,16,3.7,-0.215,1.737,-0.5
2,12,4,1,16,4.8,-1.215,1.737,0.5
3,12,2,1,16,4.2,-3.215,1.737,0.5
4,12,7,1,16,5.7,1.785,1.737,0.5
5,12,4,1,16,4.6,-1.215,1.737,0.5
6,12,3,0,16,3.8,-2.215,1.737,-0.5
7,12,4,0,16,2.8,-1.215,1.737,-0.5
8,12,6,0,16,4.7,0.785,1.737,-0.5
9,12,5,1,16,5.6,-0.215,1.737,0.5
10,12,3,1,16,2.8,-2.215,1.737,0.5
11,12,4,0,16,3.8,-1.215,1.737,-0.5
12,12,3,0,16,2.4,-2.215,1.737,-0.5
13,12,4,1,16,5.3,-1.215,1.737,0.5
14,12,4,0,16,3.5,-1.215,1.737,-0.5
15,12,4,0,16,4.5,-1.215,1.737,-0.5
16,12,5,0,16,4.5,-0.215,1.737,-0.5
17,12,6,0,16,4.5,0.785,1.737,-0.5
2,13,4,1,19,6.5,-1.215,4.737,0.5
3,13,4,1,19,6.4,-1.215,4.737,0.5
4,13,6,0,19,6.2,0.785,4.737,-0.5
5,13,6,0,19,6.1,0.785,4.737,-0.5
6,13,5,1,19,5.6,-0.215,4.737,0.5
7,13,4,1,19,6.3,-1.215,4.737,0.5
8,13,6,0,19,6.2,0.785,4.737,-0.5
9,13,6,1,19,6.2,0.785,4.737,0.5
10,13,6,0,19,5.7,0.785,4.737,-0.5
11,13,7,0,19,5.9,1.785,4.737,-0.5
12,13,3,1,19,5,-2.215,4.737,0.5
13,13,4,1,19,6.1,-1.215,4.737,0.5
14,13,4,0,19,4.5,-1.215,4.737,-0.5
15,13,6,1,19,7.2,0.785,4.737,0.5
16,13,6,0,19,6.3,0.785,4.737,-0.5
17,13,4,0,19,4.8,-1.215,4.737,-0.5
18,13,7,1,19,8,1.785,4.737,0.5
19,13,5,1,19,6,-0.215,4.737,0.5
20,13,5,1,19,7.7,-0.215,4.737,0.5
21,13,4,1,19,6.1,-1.215,4.737,0.5
1,14,7,0,2,3,1.785,-12.263,-0.5
2,14,6,0,2,3.3,0.785,-12.263,-0.5
3,14,9,0,2,5.3,3.785,-12.263,-0.5
4,14,7,0,2,3.2,1.785,-12.263,-0.5
5,14,6,0,2,3.6,0.785,-12.263,-0.5
6,14,8,0,2,4.5,2.785,-12.263,-0.5
7,14,5,0,2,1.4,-0.215,-12.263,-0.5
8,14,6,0,2,2.3,0.785,-12.263,-0.5
9,14,6,0,2,2.8,0.785,-12.263,-0.5
10,14,8,0,2,4.5,2.785,-12.263,-0.5
11,14,7,0,2,3.9,1.785,-12.263,-0.5
12,14,7,0,2,4.5,1.785,-12.263,-0.5
13,14,7,0,2,3.1,1.785,-12.263,-0.5
14,14,7,0,2,4.5,1.785,-12.263,-0.5
15,14,6,0,2,2.3,0.785,-12.263,-0.5
16,14,8,0,2,6.5,2.785,-12.263,-0.5
17,14,6,0,2,3.1,0.785,-12.263,-0.5
1,15,5,0,8,4.2,-0.215,-6.263,-0.5
2,15,5,0,8,3.4,-0.215,-6.263,-0.5
3,15,4,0,8,4,-1.215,-6.263,-0.5
4,15,4,0,8,3.1,-1.215,-6.263,-0.5
5,15,7,0,8,6.3,1.785,-6.263,-0.5
6,15,6,1,8,4.4,0.785,-6.263,0.5
7,15,6,1,8,5.5,0.785,-6.263,0.5
8,15,8,1,8,7.9,2.785,-6.263,0.5
9,15,5,0,8,2.9,-0.215,-6.263,-0.5
10,15,8,0,8,6.4,2.785,-6.263,-0.5
11,15,5,1,8,5.1,-0.215,-6.263,0.5
12,15,7,0,8,4.3,1.785,-6.263,-0.5
13,15,6,0,8,4.3,0.785,-6.263,-0.5
14,15,5,1,8,5.8,-0.215,-6.263,0.5
15,15,6,0,8,4.5,0.785,-6.263,-0.5
16,15,5,1,8,4.5,-0.215,-6.263,0.5
17,15,6,0,8,6,0.785,-6.263,-0.5
18,15,6,1,8,5.6,0.785,-6.263,0.5
19,15,6,0,8,4.7,0.785,-6.263,-0.5
20,15,4,1,8,4.5,-1.215,-6.263,0.5
21,15,3,0,8,4.3,-2.215,-6.263,-0.5
22,15,5,0,8,3.2,-0.215,-6.263,-0.5
23,15,5,0,8,5,-0.215,-6.263,-0.5
24,15,4,0,8,2.9,-1.215,-6.263,-0.5
1,16,5,1,11,4.2,-0.215,-3.263,0.5
2,16,6,1,11,5.6,0.785,-3.263,0.5
3,16,5,1,11,4.5,-0.215,-3.263,0.5
4,16,7,1,11,6.3,1.785,-3.263,0.5
5,16,5,1,11,5.1,-0.215,-3.263,0.5
6,16,5,0,11,2.8,-0.215,-3.263,-0.5
7,16,6,1,11,6.3,0.785,-3.263,0.5
8,16,8,0,11,3.1,2.785,-3.263,-0.5
9,16,5,1,11,5.4,-0.215,-3.263,0.5
10,16,6,1,11,4.7,0.785,-3.263,0.5
11,16,8,1,11,6.5,2.785,-3.263,0.5
12,16,6,1,11,4.5,0.785,-3.263,0.5
13,16,7,1,11,6.8,1.785,-3.263,0.5
14,16,5,0,11,2.9,-0.215,-3.263,-0.5
15,16,4,1,11,5.1,-1.215,-3.263,0.5
16,16,6,1,11,4.2,0.785,-3.263,0.5
17,16,6,1,11,5.1,0.785,-3.263,0.5
1,17,4,0,16,3.7,-1.215,1.737,-0.5
2,17,3,1,16,5.2,-2.215,1.737,0.5
3,17,6,0,16,6.3,0.785,1.737,-0.5
4,17,5,0,16,3.9,-0.215,1.737,-0.5
5,17,3,1,16,5.3,-2.215,1.737,0.5
6,17,5,0,16,3.7,-0.215,1.737,-0.5
7,17,6,1,16,5.8,0.785,1.737,0.5
8,17,4,1,16,4.6,-1.215,1.737,0.5
9,17,5,1,16,5.9,-0.215,1.737,0.5
10,17,5,1,16,5.8,-0.215,1.737,0.5
11,17,6,1,16,6.6,0.785,1.737,0.5
12,17,4,0,16,3.7,-1.215,1.737,-0.5
13,17,6,0,16,5.8,0.785,1.737,-0.5
14,17,6,1,16,6.2,0.785,1.737,0.5
15,17,6,0,16,4.8,0.785,1.737,-0.5
16,17,6,1,16,7,0.785,1.737,0.5
17,17,3,1,16,5.4,-2.215,1.737,0.5
18,17,5,1,16,7,-0.215,1.737,0.5
19,17,4,0,16,3.3,-1.215,1.737,-0.5
20,17,7,1,16,6.7,1.785,1.737,0.5
21,17,5,1,16,5.6,-0.215,1.737,0.5
22,17,4,0,16,3.5,-1.215,1.737,-0.5
23,17,4,0,16,3.6,-1.215,1.737,-0.5
24,17,4,0,16,5.1,-1.215,1.737,-0.5
25,17,5,0,16,3.7,-0.215,1.737,-0.5
26,17,4,0,16,5.3,-1.215,1.737,-0.5
1,18,7,0,21,6.1,1.785,6.737,-0.5
2,18,5,1,21,7.8,-0.215,6.737,0.5
3,18,4,0,21,4.8,-1.215,6.737,-0.5
4,18,5,0,21,6.7,-0.215,6.737,-0.5
5,18,5,0,21,5.1,-0.215,6.737,-0.5
6,18,4,1,21,6.8,-1.215,6.737,0.5
7,18,5,0,21,7.1,-0.215,6.737,-0.5
8,18,3,1,21,6.7,-2.215,6.737,0.5
9,18,5,0,21,5.6,-0.215,6.737,-0.5
10,18,4,1,21,5.1,-1.215,6.737,0.5
11,18,5,0,21,4.8,-0.215,6.737,-0.5
12,18,6,1,21,6.7,0.785,6.737,0.5
13,18,5,0,21,6.7,-0.215,6.737,-0.5
14,18,4,0,21,6.9,-1.215,6.737,-0.5
15,18,5,1,21,7.9,-0.215,6.737,0.5
16,18,5,0,21,6.6,-0.215,6.737,-0.5
17,18,6,0,21,6.9,0.785,6.737,-0.5
18,18,5,1,21,5.7,-0.215,6.737,0.5
19,18,4,1,21,4.4,-1.215,6.737,0.5
20,18,3,1,21,5.7,-2.215,6.737,0.5
21,18,5,0,21,6,-0.215,6.737,-0.5
1,19,8,1,16,7.1,2.785,1.737,0.5
2,19,4,0,16,5.4,-1.215,1.737,-0.5
3,19,5,0,16,6.2,-0.215,1.737,-0.5
4,19,5,1,16,7.1,-0.215,1.737,0.5
5,19,5,0,16,4.4,-0.215,1.737,-0.5
6,19,3,0,16,3.2,-2.215,1.737,-0.5
7,19,5,0,16,5.6,-0.215,1.737,-0.5
8,19,4,1,16,6.2,-1.215,1.737,0.5
9,19,5,0,16,4.5,-0.215,1.737,-0.5
10,19,4,1,16,5.9,-1.215,1.737,0.5
11,19,6,1,16,5.9,0.785,1.737,0.5
12,19,4,0,16,3.7,-1.215,1.737,-0.5
14,19,6,1,16,7.1,0.785,1.737,0.5
15,19,5,1,16,5.6,-0.215,1.737,0.5
16,19,3,0,16,5,-2.215,1.737,-0.5
17,19,5,1,16,5.9,-0.215,1.737,0.5
18,19,4,1,16,4.8,-1.215,1.737,0.5
19,19,5,0,16,5.7,-0.215,1.737,-0.5
20,19,3,1,16,6.8,-2.215,1.737,0.5
21,19,4,0,16,4,-1.215,1.737,-0.5
1,20,5,1,10,6,-0.215,-4.263,0.5
2,20,7,1,10,6.5,1.785,-4.263,0.5
3,20,5,1,10,5.9,-0.215,-4.263,0.5
4,20,4,1,10,5.1,-1.215,-4.263,0.5
5,20,5,1,10,5.8,-0.215,-4.263,0.5
6,20,6,1,10,6.9,0.785,-4.263,0.5
7,20,8,1,10,7.2,2.785,-4.263,0.5
8,20,5,0,10,3.3,-0.215,-4.263,-0.5
9,20,5,1,10,6.6,-0.215,-4.263,0.5
10,20,4,0,10,2.7,-1.215,-4.263,-0.5
11,20,4,0,10,3.1,-1.215,-4.263,-0.5
12,20,6,1,10,5.7,0.785,-4.263,0.5
13,20,7,0,10,5.6,1.785,-4.263,-0.5
14,20,4,1,10,6.3,-1.215,-4.263,0.5
15,20,6,1,10,5.9,0.785,-4.263,0.5
17,20,5,0,10,2.9,-0.215,-4.263,-0.5
18,20,6,1,10,6.3,0.785,-4.263,0.5
19,20,5,1,10,5.7,-0.215,-4.263,0.5
20,20,6,1,10,6.3,0.785,-4.263,0.5
21,20,5,0,10,4.2,-0.215,-4.263,-0.5
1,21,5,1,17,5.4,-0.215,2.737,0.5
2,21,5,1,17,5.7,-0.215,2.737,0.5
3,21,5,1,17,4.2,-0.215,2.737,0.5
4,21,4,1,17,3.5,-1.215,2.737,0.5
5,21,7,0,17,4.6,1.785,2.737,-0.5
6,21,5,0,17,4.1,-0.215,2.737,-0.5
7,21,5,0,17,4.2,-0.215,2.737,-0.5
8,21,4,1,17,4.6,-1.215,2.737,0.5
9,21,6,0,17,4,0.785,2.737,-0.5
10,21,3,0,17,4.5,-2.215,2.737,-0.5
11,21,6,1,17,4.9,0.785,2.737,0.5
12,21,6,0,17,5.3,0.785,2.737,-0.5
13,21,4,0,17,3.7,-1.215,2.737,-0.5
14,21,4,0,17,3.8,-1.215,2.737,-0.5
15,21,5,1,17,5.8,-0.215,2.737,0.5
16,21,4,0,17,3.7,-1.215,2.737,-0.5
17,21,5,0,17,5.4,-0.215,2.737,-0.5
18,21,4,1,17,6.7,-1.215,2.737,0.5
19,21,3,1,17,4.7,-2.215,2.737,0.5
20,21,6,1,17,6,0.785,2.737,0.5
21,21,4,1,17,6.3,-1.215,2.737,0.5
22,21,5,1,17,5,-0.215,2.737,0.5
23,21,6,1,17,5.1,0.785,2.737,0.5
1,22,3,1,11,5.7,-2.215,-3.263,0.5
2,22,2,1,11,5.8,-3.215,-3.263,0.5
3,22,6,1,11,7.6,0.785,-3.263,0.5
4,22,6,1,11,7.8,0.785,-3.263,0.5
5,22,5,0,11,5.4,-0.215,-3.263,-0.5
6,22,4,0,11,5.7,-1.215,-3.263,-0.5
7,22,4,0,11,6.3,-1.215,-3.263,-0.5
8,22,6,1,11,6.7,0.785,-3.263,0.5
9,22,4,1,11,7,-1.215,-3.263,0.5
10,22,5,0,11,5.6,-0.215,-3.263,-0.5
11,22,5,0,11,5.5,-0.215,-3.263,-0.5
12,22,6,0,11,5.4,0.785,-3.263,-0.5
13,22,6,1,11,6.7,0.785,-3.263,0.5
14,22,7,1,11,7.3,1.785,-3.263,0.5
15,22,5,0,11,6.1,-0.215,-3.263,-0.5
16,22,5,1,11,6.5,-0.215,-3.263,0.5
17,22,4,0,11,5.8,-1.215,-3.263,-0.5
18,22,6,1,11,7.1,0.785,-3.263,0.5
19,22,5,1,11,5.9,-0.215,-3.263,0.5
20,22,7,1,11,7,1.785,-3.263,0.5
1,23,6,0,15,5,0.785,0.737,-0.5
2,23,6,1,15,4.8,0.785,0.737,0.5
3,23,4,1,15,5.9,-1.215,0.737,0.5
4,23,5,0,15,4.5,-0.215,0.737,-0.5
5,23,5,1,15,6.3,-0.215,0.737,0.5
6,23,7,1,15,6,1.785,0.737,0.5
7,23,5,1,15,6.4,-0.215,0.737,0.5
8,23,4,0,15,3.3,-1.215,0.737,-0.5
9,23,6,0,15,4.6,0.785,0.737,-0.5
10,23,5,0,15,5.6,-0.215,0.737,-0.5
11,23,5,0,15,4.5,-0.215,0.737,-0.5
12,23,6,1,15,6.4,0.785,0.737,0.5
13,23,4,0,15,3.8,-1.215,0.737,-0.5
14,23,6,1,15,6.6,0.785,0.737,0.5
15,23,5,1,15,6.5,-0.215,0.737,0.5
16,23,6,0,15,5.6,0.785,0.737,-0.5
17,23,5,1,15,5.7,-0.215,0.737,0.5
18,23,5,0,15,4.2,-0.215,0.737,-0.5
19,23,7,1,15,6.7,1.785,0.737,0.5
20,23,3,0,15,3.2,-2.215,0.737,-0.5
21,23,7,0,15,5.4,1.785,0.737,-0.5
22,23,3,0,15,4.7,-2.215,0.737,-0.5
1,24,5,0,6,3.4,-0.215,-8.263,-0.5
2,24,4,0,6,2.7,-1.215,-8.263,-0.5
3,24,5,1,6,3.8,-0.215,-8.263,0.5
4,24,5,1,6,3.7,-0.215,-8.263,0.5
5,24,7,1,6,7.3,1.785,-8.263,0.5
6,24,7,1,6,6.6,1.785,-8.263,0.5
7,24,7,0,6,3,1.785,-8.263,-0.5
8,24,6,1,6,5.2,0.785,-8.263,0.5
9,24,5,0,6,4.7,-0.215,-8.263,-0.5
10,24,6,1,6,6.2,0.785,-8.263,0.5
11,24,7,0,6,4.5,1.785,-8.263,-0.5
12,24,6,0,6,3.3,0.785,-8.263,-0.5
13,24,6,0,6,3.9,0.785,-8.263,-0.5
14,24,5,0,6,3.4,-0.215,-8.263,-0.5
15,24,5,0,6,4.1,-0.215,-8.263,-0.5
16,24,7,1,6,5.3,1.785,-8.263,0.5
17,24,5,1,6,5.6,-0.215,-8.263,0.5
18,24,5,1,6,5.3,-0.215,-8.263,0.5
19,24,6,0,6,4.5,0.785,-8.263,-0.5
1,25,4,0,19,5.1,-1.215,4.737,-0.5
2,25,5,1,19,5.6,-0.215,4.737,0.5
3,25,5,1,19,5.6,-0.215,4.737,0.5
4,25,4,1,19,5.9,-1.215,4.737,0.5
5,25,7,1,19,6.5,1.785,4.737,0.5
6,25,6,0,19,3.7,0.785,4.737,-0.5
7,25,5,0,19,3.9,-0.215,4.737,-0.5
8,25,6,1,19,5.7,0.785,4.737,0.5
9,25,4,1,19,5.7,-1.215,4.737,0.5
10,25,5,0,19,5.1,-0.215,4.737,-0.5
11,25,6,1,19,5.7,0.785,4.737,0.5
12,25,6,0,19,4.6,0.785,4.737,-0.5
